id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_puskesmas,keterangan,jumlah,satuan,tahun
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,UPT CIBIRU,USIA PRODUKTIF,11061,ORANG,2019
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,UPT CIBIRU,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1752,ORANG,2019
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,UPT CIBOLERANG,USIA PRODUKTIF,16286,ORANG,2019
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,UPT CIBOLERANG,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,858,ORANG,2019
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,UPT CIBUNTU,USIA PRODUKTIF,34205,ORANG,2019
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,UPT CIBUNTU,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,3057,ORANG,2019
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,UPT CIGADUNG,USIA PRODUKTIF,22005,ORANG,2019
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,UPT CIGADUNG,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1405,ORANG,2019
37,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,UPT CIGONDEWAH,USIA PRODUKTIF,27366,ORANG,2019
38,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,UPT CIGONDEWAH,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2368,ORANG,2019
39,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,UPT CIJAGRA BARU,USIA PRODUKTIF,8126,ORANG,2019
40,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,UPT CIJAGRA BARU,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1149,ORANG,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,UPT CIJAGRA LAMA,USIA PRODUKTIF,17840,ORANG,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,UPT CIJAGRA LAMA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2645,ORANG,2019
43,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,UPT CIJERAH,USIA PRODUKTIF,32528,ORANG,2019
44,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,UPT CIJERAH,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1727,ORANG,2019
45,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,UPT CIKUTRA LAMA,USIA PRODUKTIF,7533,ORANG,2019
46,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,UPT CIKUTRA LAMA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,639,ORANG,2019
47,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,UPT CILENGKRANG,USIA PRODUKTIF,31026,ORANG,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,UPT CILENGKRANG,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,5655,ORANG,2019
49,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,UPT CINAMBO,USIA PRODUKTIF,17749,ORANG,2019
50,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,UPT CINAMBO,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2558,ORANG,2019
51,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,UPT CIPADUNG,USIA PRODUKTIF,9103,ORANG,2019
52,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,UPT CIPADUNG,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1699,ORANG,2019
53,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,UPT CIPAKU,USIA PRODUKTIF,7411,ORANG,2019
54,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,UPT CIPAKU,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,3575,ORANG,2019
55,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,UPT CIPAMOKOLAN,USIA PRODUKTIF,31611,ORANG,2019
56,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,UPT CIPAMOKOLAN,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1500,ORANG,2019
57,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,UPT CIUMBULEUIT,USIA PRODUKTIF,29914,ORANG,2019
58,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,UPT CIUMBULEUIT,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,10056,ORANG,2019
59,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,UPT DAGO,USIA PRODUKTIF,34539,ORANG,2019
60,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,UPT DAGO,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,3774,ORANG,2019
61,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,UPT DERWATI,USIA PRODUKTIF,26033,ORANG,2019
62,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,UPT DERWATI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2246,ORANG,2019
63,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,UPT GARUDA,USIA PRODUKTIF,47660,ORANG,2019
64,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,UPT GARUDA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2542,ORANG,2019
65,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,UPT GIRIMANDE,USIA PRODUKTIF,12490,ORANG,2019
66,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,UPT GIRIMANDE,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,611,ORANG,2019
67,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,UPT GRIYA ANTAPANI,USIA PRODUKTIF,16235,ORANG,2019
68,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,UPT GRIYA ANTAPANI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1973,ORANG,2019
69,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,UPT GUMURUH,USIA PRODUKTIF,38769,ORANG,2019
70,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,UPT GUMURUH,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,4160,ORANG,2019
71,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,UPT IBRAHIM ADJIE,USIA PRODUKTIF,30558,ORANG,2019
72,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,UPT IBRAHIM ADJIE,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,16183,ORANG,2019
73,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,UPT JAJAWAY,USIA PRODUKTIF,17853,ORANG,2019
74,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,UPT JAJAWAY,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2191,ORANG,2019
75,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,UPT JATIHANDAP,USIA PRODUKTIF,17816,ORANG,2019
76,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,UPT JATIHANDAP,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,524,ORANG,2019
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,UPT KARANGSETRA,USIA PRODUKTIF,16119,ORANG,2019
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,UPT KARANGSETRA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2034,ORANG,2019
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,UPT KOPO,USIA PRODUKTIF,31538,ORANG,2019
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,UPT KOPO,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,865,ORANG,2019
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,UPT KUJANG SARI,USIA PRODUKTIF,28519,ORANG,2019
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,UPT KUJANG SARI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,283,ORANG,2019
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,UPT LEDENG,USIA PRODUKTIF,9283,ORANG,2019
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,UPT LEDENG,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,763,ORANG,2019
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,UPT LIOGENTENG,USIA PRODUKTIF,19424,ORANG,2019
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,UPT LIOGENTENG,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,4712,ORANG,2019
87,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,UPT MANDALA MEKAR,USIA PRODUKTIF,17816,ORANG,2019
88,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,UPT MANDALA MEKAR,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1271,ORANG,2019
89,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,UPT MARGAHAYU RAYA,USIA PRODUKTIF,46505,ORANG,2019
90,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,UPT MARGAHAYU RAYA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1764,ORANG,2019
91,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,UPT MENGGER,USIA PRODUKTIF,7634,ORANG,2019
92,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,UPT MENGGER,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1046,ORANG,2019
93,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,UPT MOCH. RAMDAN,USIA PRODUKTIF,25125,ORANG,2019
94,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,UPT MOCH. RAMDAN,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1559,ORANG,2019
95,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,UPT NEGLASARI,USIA PRODUKTIF,26971,ORANG,2019
96,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,UPT NEGLASARI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2274,ORANG,2019
97,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,UPT PADASUKA,USIA PRODUKTIF,47023,ORANG,2019
98,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,UPT PADASUKA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,3185,ORANG,2019
99,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,UPT PAGARSIH,USIA PRODUKTIF,23619,ORANG,2019
100,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,UPT PAGARSIH,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,3703,ORANG,2019
101,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,UPT PAMULANG,USIA PRODUKTIF,12490,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,UPT PAMULANG,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1551,ORANG,2019
103,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,UPT PANGHEGAR,USIA PRODUKTIF,9513,ORANG,2019
104,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,UPT PANGHEGAR,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,3195,ORANG,2019
105,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,UPT PANYILEUKAN,USIA PRODUKTIF,11348,ORANG,2019
106,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,UPT PANYILEUKAN,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,348,ORANG,2019
107,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,UPT PASAWAHAN,USIA PRODUKTIF,5846,ORANG,2019
108,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,UPT PASAWAHAN,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1043,ORANG,2019
109,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,UPT PASIRJATI,USIA PRODUKTIF,11774,ORANG,2019
110,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,UPT PASIRJATI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1624,ORANG,2019
111,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,UPT PASIRKALIKI,USIA PRODUKTIF,50244,ORANG,2019
112,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,UPT PASIRKALIKI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,7799,ORANG,2019
113,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,UPT PASIRLAYUNG,USIA PRODUKTIF,31014,ORANG,2019
114,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,UPT PASIRLAYUNG,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2663,ORANG,2019
115,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,UPT PASIRLUYU,USIA PRODUKTIF,19831,ORANG,2019
116,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,UPT PASIRLUYU,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1036,ORANG,2019
117,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,UPT PASUNDAN,USIA PRODUKTIF,10779,ORANG,2019
118,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,UPT PASUNDAN,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,86,ORANG,2019
119,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,UPT PELINDUNG HEWAN,USIA PRODUKTIF,31937,ORANG,2019
120,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,UPT PELINDUNG HEWAN,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,5295,ORANG,2019
121,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,UPT PUTER,USIA PRODUKTIF,18127,ORANG,2019
122,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,UPT PUTER,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,4685,ORANG,2019
123,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,UPT RIUNG BANDUNG,USIA PRODUKTIF,21639,ORANG,2019
124,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,UPT RIUNG BANDUNG,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,4144,ORANG,2019
125,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,UPT RUSUNAWA,USIA PRODUKTIF,29595,ORANG,2019
126,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,UPT RUSUNAWA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,976,ORANG,2019
127,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,UPT SALAM,USIA PRODUKTIF,4241,ORANG,2019
128,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,UPT SALAM,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1735,ORANG,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,UPT SARIJADI,USIA PRODUKTIF,18925,ORANG,2019
130,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,UPT SARIJADI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1477,ORANG,2019
131,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,UPT SEKEJATI,USIA PRODUKTIF,24031,ORANG,2019
132,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,UPT SEKEJATI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,120,ORANG,2019
133,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,UPT SEKELOA,USIA PRODUKTIF,18488,ORANG,2019
134,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,UPT SEKELOA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,4291,ORANG,2019
135,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,UPT SINDANG JAYA,USIA PRODUKTIF,18522,ORANG,2019
136,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,UPT SINDANG JAYA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2368,ORANG,2019
